name,activeIngredient,manufacturer,description,formFactor,country,currency,price,image
Sembolic 14 Tablet strip of 10 tablets,Semaglutide,Torrent Pharmaceuticals Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Tablet,,,₹2537,https://drive.google.com/file/d/1dHDua74OWbdrWOU0vQrvRfhcEAOufKrd/view?usp=drivesdk
Sembolic 3 Tablet strip of 10 tablets,Semaglutide,Torrent Pharmaceuticals Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Tablet,,,₹1089,https://drive.google.com/file/d/11nEXksxEZnk0ptrymMpScJCO5azC_VOT/view?usp=drivesdk
Mashlo 2mg Pre-filled Pen box of 1 pre-filled pen,Semaglutide,Dr. Reddy's,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹4196,https://drive.google.com/file/d/1eBJ8tlMsIYHoa3EKdUAdeOXFtYZye_GP/view?usp=drivesdk
Noveltreat 2.4 mg Pre-filled Pen box of 2 pre-filled pens,Semaglutide,Sun Pharma,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹3700,https://drive.google.com/file/d/1gcElwAjnYldi7of49XylAsNOiuu-ZtXF/view?usp=drivesdk
Noveltreat 1 mg Pre-filled Pen box of 2 pre-filled pens,Semaglutide,Sun Pharma,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹2495,https://drive.google.com/file/d/1mqfa7Upr1gqknlGJOaCdK0GNiX8Kw3CH/view?usp=drivesdk
Extensior 0.25mg Injection Combipack (1 Prefilled Pen 1.5 ml & 4 Needles) box of 1 injection,Semaglutide,Abbott India Limited,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹3999,https://drive.google.com/file/d/1NHS3ONaEYR-roLOsF0yDL6PnjB7Q_FjZ/view?usp=drivesdk
"Obesema 0.5mg Injection (1 Multi-dose Disposable Pen, 4 Needles, 4 Alcohol Swabs) box of 1 pre-filled pen",Semaglutide,Alkem Labs,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹1898,https://drive.google.com/file/d/1drVQsMZJXa_WdNyoR3zDlU3mKGDboaLp/view?usp=drivesdk
"Hepaglide 0.5mg Injection (1 Multi-dose Disposable Pen, 4 Needle, 4 Alcohol Swab) box of 1 pre-filled pen",Semaglutide,Alkem Labs,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹1898,https://drive.google.com/file/d/1bs1lnI54Bj6dPIjGaX5Y-5nXb5VNBZZn/view?usp=drivesdk
Poviztra 1mg Injection pre-filled pen of 3 ml injection,Semaglutide,Emcure Pharmaceuticals Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹5999,https://drive.google.com/file/d/12UbHgsL-kK18nizCiUU7ustDk-esoASg/view?usp=drivesdk
Poviztra 0.5mg Injection pre-filled pen of 1.5 ml injection,Semaglutide,Emcure Pharmaceuticals Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹4999,https://drive.google.com/file/d/1jq_43wvuFFOazIdN5e0MtHFTvH4tYDvm/view?usp=drivesdk
Usema 1mg Pre-filled Pen box of 3 ml pre-filled pen,Semaglutide,USV Private Limited,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹5280,https://drive.google.com/file/d/1y6cUYCtlw3NsKMQNy6HrsD3LG3RKvJbU/view?usp=drivesdk
Alterme Injection (3ml Cartridge + 10 Needles) box of 1 injection,Semaglutide,Zydus Lifesciences,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Cartridge,,,₹8749,https://drive.google.com/file/d/10bajtyeuUEF-Ni0K3eYFB38_awzx6cEJ/view?usp=drivesdk
Semaglu 0.25/0.5 Pre-filled Pen box of 1 injection,Semaglutide,Mankind Pharma Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹4999,https://drive.google.com/file/d/1TuDpDi2Y3OqBmHtwmJKoMgMH74yGqR_1/view?usp=drivesdk
Sembolic Injection (3ml Cartridge + 10 Needles) box of 1 injection,Semaglutide,Torrent Pharmaceuticals Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Cartridge,,,₹8749,https://drive.google.com/file/d/1xnVp6qW0JlS-7CkTlJ8NdRzuig7Iom3I/view?usp=drivesdk
Semaglyn Injection (3ml Cartridge with 10 Needle) box of 1 injection,Semaglutide,Zydus Lifesciences,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Cartridge,,,₹8749,https://drive.google.com/file/d/1tRV5I2OlFJLPeuYBP94hGGujYUp7yS3b/view?usp=drivesdk
Noveltreat 1.7 mg Pre-filled Pen box of 2 pre-filled pens,Semaglutide,Sun Pharma,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹3245,https://drive.google.com/file/d/1WlpNbFiBT_zggUCbKcEZ4gt-fvA7BO-O/view?usp=drivesdk
Noveltreat 0.25 mg Pre-filled Pen box of 2 pre-filled pens,Semaglutide,Sun Pharma,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹1745,https://drive.google.com/file/d/1SVIB6elNkOkOl7KDgigZs8LO7fw4DF7T/view?usp=drivesdk
Obeda 2mg Pre-filled Pen (with BD-Ultra Fine 32G - 6 Needle) box of 1 pre-filled pen,Semaglutide,Dr. Reddy's,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹4200,https://drive.google.com/file/d/1w8aIDcBJMWcD03PG-UbLHBI7jgC4ZgZY/view?usp=drivesdk
"Semasize Plus 1.7mg Solution for Injection (1 Cartridge, 4 Needle, 4 Alcohol Swab) box of 1 injection",Semaglutide,Alkem Labs,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Cartridge,,,₹2000,https://drive.google.com/file/d/1_nZmEdVkeMmG5eahmIbtE2bgSV3cL--9/view?usp=drivesdk
"Hepaglide 1mg Injection (1 Multi-dose Disposable Pen, 4 Needle, 4 Alcohol Swab) box of 1 pre-filled pen",Semaglutide,Alkem Labs,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹1998,https://drive.google.com/file/d/19wPtDTkirkd6BFliS3p3uMcv6hTJc62J/view?usp=drivesdk
"Hepaglide 1.7mg Injection (1 Multi-dose Disposable Pen, 4 Needle, 4 Alcohol Swab) box of 1 pre-filled pen",Semaglutide,Alkem Labs,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹2498,https://drive.google.com/file/d/1B5Rl5I01WOo3iUnCVaj2khL_XuVXUIcF/view?usp=drivesdk
"Semasize 1mg Injection (1 Multi-dose Disposable Pen, 4 Needle, 4 Alcohol Swab) box of 1 pre-filled pen",Semaglutide,Alkem Labs,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹2000,https://drive.google.com/file/d/1uAbbHqI_vNE7BVweLB7Wab2IkeYyqJGt/view?usp=drivesdk
"Semasize 2mg Injection (1 Multi-dose Disposable Pen, 4 Needle, 4 Alcohol Swab) box of 1 pre-filled pen",Semaglutide,Alkem Labs,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹3000,https://drive.google.com/file/d/1akliJXCgULs-BOLs6Xcu9XmjFcuYobPK/view?usp=drivesdk
"Hepaglide 0.25mg Injection (1 Multi-dose Disposable Pen, 4 Needle, 4 Alcohol Swab) box of 1 pre-filled pen",Semaglutide,Alkem Labs,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹1798,https://drive.google.com/file/d/1Ubd1fmkZf8TUZe5kVqxRSMCoWuhyH7ZS/view?usp=drivesdk
Obeda 4mg Pre-filled Pen (with BD Ultra-Fine 32G - 4 Needle) box of 1 pre-filled pen,Semaglutide,Dr. Reddy's,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹4200,https://drive.google.com/file/d/1WVsM976z_9iL4SoeT7nx9pgs6Rpxfedl/view?usp=drivesdk
Poviztra 1.7mg Injection pre-filled pen of 3 ml injection,Semaglutide,Emcure Pharmaceuticals Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹7999,https://drive.google.com/file/d/1B2iNe4RrJ5970Te1XdHhxo_L3CzDrr23/view?usp=drivesdk
Poviztra 0.25mg Injection pre-filled pen of 1.5 ml injection,Semaglutide,Emcure Pharmaceuticals Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹3999,https://drive.google.com/file/d/1QfCz5NMCh7iAVGVmFbAQN4bcWAeKXyrB/view?usp=drivesdk
Sematrinity 4mg Pre-filled Pen pre-filled pen of 3 ml solution for injection,Semaglutide,Sun Pharma,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹4790,https://drive.google.com/file/d/1oQt75BRgzgaYnBI4y2sdZ6MmkTdutgi7/view?usp=drivesdk
Semalix 3 Tablet strip of 10 tablets,Semaglutide,Torrent Pharmaceuticals Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Tablet,,,₹1089,https://drive.google.com/file/d/1qbl4a6zY0iBol_UC3KX_W4TpRSFzd7Df/view?usp=drivesdk
BluVial 1mg Injection box of 1 injection,Semaglutide,Eris Lifesciences,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Vial,,,₹1294,https://drive.google.com/file/d/1jarTae6E0WtuZZL0kTvoM-n1x_0-XE9A/view?usp=drivesdk
Glipiq 2mg Injection box of 1 injection,Semaglutide,Glenmark,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Injection,,,₹1758,https://drive.google.com/file/d/1ooJxiCh5M8EjBXD8STldioYnzdMyU4L0/view?usp=drivesdk
BluVial 0.25mg/0.5mg Injection box of 1 vial,Semaglutide,Eris Lifesciences,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Vial,,,₹1294,https://drive.google.com/file/d/1qxhMRdsq_mYEBrZ9qpB8VKVELzOWDNUi/view?usp=drivesdk
Sundae 2mg Pre-filled Pen box of 1 pre-filled pen,Semaglutide,Eris Lifesciences,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹3197,https://drive.google.com/file/d/1ffoMeSBFh4uqA9dzFd7R-1DrtuoPUiAH/view?usp=drivesdk
Glipiq 2mg Pre-filled Pen box of 1 pre-filled pen,Semaglutide,Glenmark,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹2996,https://drive.google.com/file/d/17daP-1QCbkmKdQdF-VNg1at0amPSkMAB/view?usp=drivesdk
Semalix 7 Tablet strip of 10 tablets,Semaglutide,Torrent Pharmaceuticals Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Tablet,,,₹1489,https://drive.google.com/file/d/12gn-xnUQx2pB15HkTCCibdUug-aGaG7h/view?usp=drivesdk
Semanat Injection vial of 1 injection,Semaglutide,Natco Pharma,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Vial,,,₹1289,https://drive.google.com/file/d/1II5yQhADOcdnC5bIzMWo9dditaVewPNG/view?usp=drivesdk
Glipiq 1mg Injection box of 1 injection,Semaglutide,Glenmark,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Injection,,,₹1298,https://drive.google.com/file/d/1s0L4NIzSOX9np-fEzT-axcu7GIuiFTQV/view?usp=drivesdk
